,order_details_id,order_id,pizza_id,quantity
0,1,1,hawaiian_m,1.0
1,2,2,classic_dlx_m,1.0
2,3,2,five_cheese_l,1.0
3,4,2,five_cheese_l,1.0
4,5,2,mexicana_m,1.0
5,6,2,thai_ckn_l,1.0
6,7,3,ital_supr_m,1.0
7,8,3,prsc_argla_l,1.0
8,9,4,ital_supr_m,1.0
9,10,5,ital_supr_m,1.0
10,11,6,ital_supr_m,1.0
11,12,6,ital_supr_m,1.0
12,13,7,ital_supr_m,1.0
13,14,8,spinach_supr_s,1.0
14,15,9,classic_dlx_s,1.0
15,16,9,green_garden_s,1.0
16,17,9,green_garden_s,1.0
17,18,9,ital_supr_l,1.0
18,19,9,ital_supr_l,1.0
19,20,9,mexicana_s,1.0
20,21,9,spicy_ital_l,1.0
21,22,9,spin_pesto_l,1.0
22,23,9,veggie_veg_s,1.0
23,24,10,mexicana_l,1.0
24,25,10,southw_ckn_l,1.0
25,26,11,bbq_ckn_l,1.0
26,27,11,cali_ckn_l,1.0
27,28,11,cali_ckn_l,1.0
28,29,11,pepperoni_l,1.0
29,30,12,cali_ckn_l,1.0
30,31,12,cali_ckn_s,1.0
31,32,12,ckn_pesto_l,1.0
32,33,12,ital_supr_m,1.0
33,34,13,mexicana_l,1.0
34,35,14,the_greek_s,1.0
35,36,15,big_meat_s,1.0
36,37,15,big_meat_s,1.0
37,38,15,soppressata_l,1.0
38,39,15,the_greek_s,1.0
39,40,16,four_cheese_l,1.0
40,41,16,napolitana_s,1.0
41,42,16,thai_ckn_l,1.0
42,43,17,bbq_ckn_l,1.0
43,44,17,calabrese_m,1.0
44,45,17,five_cheese_l,1.0
45,46,17,four_cheese_m,1.0
46,47,17,ital_supr_m,1.0
47,48,17,ital_veggie_s,1.0
48,49,17,mediterraneo_m,2.0
49,50,17,mexicana_l,2.0
50,51,17,peppr_salami_s,1.0
51,52,17,spinach_fet_l,1.0
52,53,18,napolitana_l,1.0
53,54,19,napolitana_l,1.0
54,55,19,sicilian_l,1.0
55,56,20,big_meat_s,1.0
56,57,20,five_cheese_l,1.0
57,58,21,ital_cpcllo_l,1.0
58,59,22,five_cheese_l,1.0
59,60,22,five_cheese_l,1.0
60,61,22,southw_ckn_l,1.0
61,62,23,southw_ckn_l,1.0
62,63,24,bbq_ckn_m,1.0
63,64,24,ital_cpcllo_m,1.0
64,65,24,pepperoni_m,1.0
65,66,24,pepperoni_m,1.0
66,67,25,sicilian_m,1.0
67,68,25,thai_ckn_l,1.0
68,69,26,classic_dlx_s,1.0
69,70,26,veggie_veg_l,1.0
70,71,27,bbq_ckn_l,1.0
71,72,27,classic_dlx_m,1.0
72,73,27,classic_dlx_m,1.0
73,74,28,ckn_alfredo_s,1.0
74,75,29,green_garden_s,1.0
75,76,30,green_garden_s,1.0
76,77,31,mexicana_m,1.0
77,78,31,mexicana_m,1.0
78,79,32,big_meat_s,1.0
79,80,32,big_meat_s,1.0
80,81,32,ital_cpcllo_l,1.0
81,82,32,ital_supr_m,1.0
82,83,33,bbq_ckn_l,1.0
83,84,33,green_garden_s,1.0
84,85,34,green_garden_s,1.0
85,86,35,green_garden_m,1.0
86,87,35,pep_msh_pep_l,1.0
87,88,35,pepperoni_m,1.0
88,89,35,pepperoni_m,1.0
89,90,36,bbq_ckn_m,1.0
90,91,36,classic_dlx_m,1.0
91,92,37,ital_supr_l,1.0
92,93,37,mexicana_l,1.0
93,94,38,hawaiian_s,1.0
94,95,38,ital_cpcllo_l,1.0
95,96,39,ital_supr_l,1.0
96,97,40,four_cheese_l,1.0
97,98,40,southw_ckn_s,1.0
98,99,41,southw_ckn_s,1.0
99,100,41,green_garden_s,1.0
100,101,42,big_meat_s,1.0
101,102,42,five_cheese_l,1.0
102,103,42,five_cheese_l,1.0
103,104,42,peppr_salami_m,1.0
104,105,43,ckn_alfredo_m,1.0
105,106,43,ital_supr_m,1.0
106,107,43,ital_supr_m,1.0
107,108,44,spin_pesto_s,1.0
108,109,45,four_cheese_l,1.0
109,110,45,hawaiian_s,1.0
110,111,45,thai_ckn_m,1.0
111,112,46,ckn_pesto_l,1.0
112,113,46,classic_dlx_l,1.0
113,114,46,thai_ckn_m,1.0
114,115,47,southw_ckn_l,1.0
115,116,47,veggie_veg_s,1.0
116,117,48,ckn_pesto_m,1.0
117,118,48,green_garden_s,1.0
118,119,48,green_garden_s,1.0
119,120,48,spicy_ital_l,1.0
120,121,49,sicilian_l,1.0
121,122,50,the_greek_xl,1.0
122,123,51,bbq_ckn_l,1.0
123,124,51,pep_msh_pep_l,1.0
124,125,52,hawaiian_l,1.0
125,126,52,mexicana_l,1.0
126,127,52,spicy_ital_l,1.0
127,128,53,pep_msh_pep_s,1.0
128,129,53,spinach_supr_m,1.0
129,130,54,prsc_argla_m,1.0
130,131,54,thai_ckn_l,1.0
131,132,55,peppr_salami_s,1.0
132,133,55,spicy_ital_l,1.0
133,134,56,classic_dlx_m,1.0
134,135,56,mediterraneo_l,1.0
135,136,56,southw_ckn_m,1.0
136,137,57,classic_dlx_m,1.0
137,138,58,classic_dlx_m,1.0
138,139,58,classic_dlx_m,1.0
139,140,59,ital_veggie_s,1.0
140,141,59,pep_msh_pep_s,1.0
141,142,59,pepperoni_l,1.0
142,143,60,ckn_pesto_l,1.0
143,144,60,four_cheese_m,1.0
144,145,61,bbq_ckn_m,1.0
145,146,61,ital_supr_l,1.0
146,147,62,bbq_ckn_m,1.0
147,148,62,bbq_ckn_m,1.0
148,149,63,pep_msh_pep_m,1.0
149,150,64,pep_msh_pep_m,1.0
150,151,65,pep_msh_pep_s,1.0
151,152,65,sicilian_s,1.0
152,153,65,spicy_ital_s,1.0
153,154,65,spinach_supr_m,1.0
154,155,66,classic_dlx_m,1.0
155,156,66,ital_cpcllo_m,1.0
156,157,67,southw_ckn_l,1.0
157,158,68,classic_dlx_m,1.0
158,159,68,ital_supr_l,1.0
